연도,성별,심폐지구력,유연성,근력·근지구력,순발력,신체구성
2016,남,-0.049978949159838325,-0.33234414958045755,-0.04819077301488206,0.6090575015321182,1.4906243151366723
2017,남,0.1478891783884925,0.41974876108351455,0.08295169345670705,0.2202033147765614,0.5403414881154786
2018,남,0.2626611913081924,0.08796125678125263,0.5497411594859162,0.39032343697131244,0.4167003634494816
2019,남,0.3455924207565164,0.013352256645130081,0.7527521664650073,0.6892749812536957,0.003471038370737145
2020,남,0.15090370089873825,-0.017500708642819662,0.8649654043184544,0.40468025066959684,0.7685859899473526
2021,남,-0.3890931115932372,-1.5878028470051548,-1.548672618963712,0.27060761512895604,1.3248026084817417
2022,남,0.05848573727508566,-0.16452650777505018,-0.025814441351499833,-0.840949942859871,-1.5295727689691545
2023,남,-0.32527579262714224,1.2936130209143837,-0.02406038710950246,-0.8765750057635355,-0.7507127241046283
2024,남,0.2977155949250872,0.2444005033717196,-0.05747579834906302,-0.3356054917596956,-0.7349042579227351
2025,남,-0.49889997017189075,-1.2572055152184904,-0.5461964049374671,-0.5310166599491413,-0.866934748264097
2016,여,-0.5895534522424667,-0.4373527052917549,0.4316239447281038,0.2031147276701944,-0.5272894977127691
2017,여,-0.010945686234901322,0.4527743505072155,0.7370483881855447,0.6339490078824771,-0.32573915302032874
2018,여,-0.45634302400445775,0.07211480062688777,0.8207015735518236,0.422565700272863,-0.43657268988247366
2019,여,0.06519815783656756,-0.812823703375339,0.42327296965354516,0.7012759784539584,-0.37085284317604195
2020,여,0.4962316918651016,0.32723323423571604,0.46216857649201293,0.42058880940892945,-0.2552969952960634
2021,여,-0.7641811708159038,-2.471204235765053,-2.1615834655522828,-2.5257732521470713,2.857453706416333
2022,여,-0.03693503840116308,1.1454926856428602,-0.30883684525332983,-0.7369644421834135,-0.7013816907042731
2023,여,-0.4098146475196333,1.0990742534576587,-0.3903306074082611,-0.2014364202695365,0.10026723166275395
2024,여,0.7723814591487269,0.5979669670078726,-0.10793479695726617,0.5414029445149469,-0.3273645472184868
2025,여,0.9339617103681254,-0.6742958772063732,0.0938702625601026,0.5412769463966144,-0.013223521068655614
