자치구,연도,성별,심폐지구력,근력,평균BMI,1~2등급비율,3등급비율,4~5등급비율
강남구,2016,남,-0.6778940418833869,-0.1622491336326248,21.207575757575757,45.17476368432622,43.679929654869206,11.145306660804573
강남구,2016,여,-0.7160248288763723,0.7496256465242609,20.298412698412697,63.40068623713305,32.494599059600965,4.10471470326598
강남구,2017,남,0.10711873326780585,0.09812216281045809,21.38730158730159,46.60826328874156,43.22244583875932,10.169290872499111
강남구,2017,여,0.09614601781153692,0.18777579567259858,20.16166666666667,67.16294458229942,29.528535980148884,3.3085194375516958
강남구,2018,남,-0.07383948159126734,-0.1254992407671106,21.530158730158732,46.35429117857996,42.68467606980636,10.961032751613674
강남구,2018,여,0.864101305832448,0.688184722356072,20.336666666666666,65.05734107319836,31.318136769078297,3.624522157723347
강남구,2019,남,-0.32832799858483785,-0.5136602381236657,21.633870967741935,49.52939738418286,40.41070773744041,10.059894878376726
강남구,2019,여,0.10504261477562445,0.014524665631028605,20.459322033898303,67.33449477351915,29.065040650406505,3.6004645760743323
강남구,2020,남,0.2398073805377559,-0.08822120511264187,21.714285714285715,49.3124763466633,40.83512047432825,9.852403179008453
강남구,2020,여,-0.12288803979389767,0.41626140093604364,20.206666666666667,68.7342709104367,28.142116950407104,3.1236121391561804
강남구,2022,남,-0.43195196756974025,0.5012722491991713,22.35737704918033,41.28831528001844,44.146116616731966,14.565568103249596
강남구,2022,여,-0.22375844026124994,0.6964027064835104,20.29824561403509,56.998403406067055,36.46886641830761,6.532730175625333
강남구,2023,남,0.3418237642506024,0.13820709999081318,21.953968253968252,42.81307129798903,42.09323583180987,15.093692870201098
강남구,2023,여,-0.7672165228303028,0.07344017129525578,20.2,58.86862278614856,34.87972508591065,6.251652127940788
강남구,2024,남,0.7859937016531795,0.27257267123403406,21.684126984126983,50.83314047674149,37.38717889377459,11.779680629483916
강남구,2024,여,0.2604886496535257,0.2866816035572735,20.045,64.62836056931998,30.785450711649975,4.586188719030047
강남구,2025,남,0.5948267559366573,1.020437969520429,21.668181818181818,49.4269340974212,37.87745206083315,12.695613841745649
강남구,2025,여,0.5687206528631163,0.757510930312571,19.952380952380953,66.58198907659087,28.718404674202976,4.6996062492061474
강동구,2016,남,-0.2614423358196739,0.4532103595726625,21.385416666666668,56.43843754641319,36.99688103371454,6.5646814198722705
강동구,2016,여,0.4597135980868892,-0.02790436315363191,20.650000000000002,66.68439716312056,30.230496453900706,3.0851063829787235
강동구,2017,남,0.2039427362673476,-0.03791932216865934,21.474999999999998,52.20136235255026,39.740820734341256,8.05781691310849
강동구,2017,여,-0.09704967445438384,0.524327542991697,20.654166666666665,66.69994010780594,30.4451986424436,2.8548612497504493
강동구,2018,남,-0.6508929203165762,-0.0941198067029952,21.71666666666667,49.66288147622427,41.83818310858765,8.498935415188075
강동구,2018,여,-0.3192322039060182,-0.2673442713315908,20.818749999999998,61.31799163179916,35.39748953974895,3.284518828451883
강동구,2019,남,-1.1773568414992799,-0.14784101630077262,21.833333333333332,48.729135053110774,41.08497723823976,10.185887708649469
강동구,2019,여,-0.6444979253241289,-0.12518275512488186,20.860416666666666,62.14638527166591,33.70004490345757,4.153569824876516
강동구,2020,남,-0.6140261011474879,0.7393506913673509,21.839583333333334,46.07030015797788,45.24091627172196,8.688783570300158
강동구,2020,여,-0.533042964254348,-0.19659658371985492,20.8,57.82312925170068,38.35327234342012,3.823598404879193
강동구,2021,남,0.07771711912435979,0.8372273167997137,23.133333333333336,37.91887125220458,45.85537918871252,16.225749559082892
강동구,2021,여,-0.2947432208939814,-0.12969406569767888,21.355555555555554,52.74151436031331,40.992167101827675,6.266318537859007
강동구,2022,남,-1.1141170676229788,-0.22745201383608524,22.74705882352941,38.53519233999664,46.32958172350076,15.135225936502602
강동구,2022,여,-0.0658592909572663,0.681095807953974,20.784313725490197,53.70749692748873,40.47521507578861,5.817287996722655
강동구,2023,남,-0.9759356336254386,0.4145068169436503,22.35686274509804,43.576533156057835,42.34668439421639,14.076782449725778
강동구,2023,여,-0.1282108214711173,0.41780141552428723,20.719607843137254,57.74791284870698,36.957849725106904,5.294237426186113
강동구,2024,남,-1.4396454261004288,-0.002662107080173559,22.021153846153844,49.21173080183082,39.71859637226648,11.069672825902694
강동구,2024,여,-0.8246898765916079,0.5621651114300069,20.65686274509804,60.128746731040025,35.143834238583786,4.727419030376182
강동구,2025,남,-1.165599140832297,-0.023774096925690102,21.91509433962264,50.470904809956274,38.47965018499832,11.04944500504541
강동구,2025,여,0.005163955288907257,0.20223439093468043,20.641176470588235,64.06281057443847,31.54442456768038,4.3927648578811365
강북구,2016,남,-0.8381196371438818,-0.20696898049916648,21.46363636363636,52.331995987963886,41.02306920762287,6.64493480441324
강북구,2016,여,0.30467348686645185,-0.7728001961949653,20.8969696969697,67.51745725981219,29.352275463520343,3.1302672766674693
강북구,2017,남,-0.03867900540151897,0.4091176999846377,21.824242424242424,55.331491712707184,36.049723756906076,8.61878453038674
강북구,2017,여,0.1368866873123677,-0.2807048648545622,21.12121212121212,68.92998678996037,28.269484808454425,2.8005284015852046
강북구,2018,남,-0.20162546771296969,0.1969755263826282,21.918181818181818,52.92880744968459,39.59146890958245,7.479723640732954
강북구,2018,여,0.5529645861298269,0.8366651195721319,21.151515151515152,66.8270591565242,30.399094254174923,2.7738465893008777
강북구,2019,남,0.07587652080351785,0.584760321945584,21.921212121212122,55.794270833333336,36.81640625,7.389322916666667
강북구,2019,여,0.7427407337034262,-0.8074298355582056,21.021212121212123,66.1304474992688,29.8917812225797,3.977771278151506
강북구,2020,남,-0.7257462957799528,-0.5542202502275936,21.945454545454545,52.637057598889655,39.13948646773074,8.223455933379597
강북구,2020,여,0.1688925338541074,0.22579550372182125,20.96060606060606,60.19147621988882,34.24953675108092,5.558987029030265
강북구,2022,남,-1.4879303986821162,-0.9295921648447605,23.2,34.41649196366178,46.12159329140461,19.461914744933612
강북구,2022,여,-0.711210511686074,-1.116509471211267,21.21212121212121,49.90335051546392,42.46134020618557,7.635309278350516
강북구,2023,남,-0.8717270848987008,-0.455761373303422,22.87878787878788,36.853448275862064,41.98994252873563,21.156609195402297
강북구,2023,여,-0.544487624303205,-1.1080230194962704,21.081818181818182,52.72727272727272,39.61038961038961,7.662337662337662
강북구,2024,남,-1.3295161302361582,-0.7393742266420688,22.275757575757577,49.887471867966994,36.75918979744936,13.353338334583645
강북구,2024,여,-0.18025420984227297,0.2637316820125069,20.90909090909091,62.440677966101696,32.20338983050847,5.3559322033898304
강북구,2025,남,-1.7933609996788396,-0.45161993288835306,22.436363636363637,43.337151584574265,42.688048873615884,13.974799541809851
강북구,2025,여,-0.5525486872458782,0.6112679099854705,21.312121212121212,55.320623916811094,37.60831889081456,7.07105719237435
강서구,2016,남,-0.44342618489026625,0.0855362400859871,20.991666666666667,47.65204003079292,44.71131639722864,7.636643571978445
강서구,2016,여,-0.5064475043482061,-0.1136891872281558,20.458333333333332,59.054625136954144,37.56456409453748,3.3808107685083737
강서구,2017,남,-0.39444940577844473,0.8879627694230408,21.295,46.66230366492147,44.84620418848168,8.491492146596858
강서구,2017,여,-0.52097897734571,0.0849982486600948,20.608333333333334,61.20019837989751,35.79103984129608,3.0087617788064143
강서구,2018,남,-0.511878758416947,0.41265039585224844,21.476666666666667,51.41843971631206,40.476190476190474,8.105369807497468
강서구,2018,여,-0.19921708504635424,0.28244854699773153,20.584999999999997,64.72019464720195,32.655543969412584,2.624261383385471
강서구,2019,남,-0.6047403370327351,0.5044309347352678,21.638333333333332,52.68474215842637,39.44710260499734,7.868155236576289
강서구,2019,여,-0.30061549535945903,0.5957231367651107,20.665000000000003,66.18782546238103,30.86730113126234,2.944873406356617
